Area	CountyFIPS	Primary Gas	Primary Electric	Secondary Electric
COLORADO STATE	0			
ADAMS COUNTY	1	Xcel	Xcel	United Power
ALAMOSA COUNTY	3	Xcel	Xcel	San Luis Valley
ARAPAHOE COUNTY	5	Xcel	Xcel	
ARCHULETA COUNTY	7	Source		
BACA COUNTY	9	Atmos	Southeast	
BENT COUNTY	11	Source	Southeast	
BOULDER COUNTY	13	Xcel	Xcel	United Power
BROOMFIELD COUNTY	14	Xcel	Xcel	
CHAFFEE COUNTY	15	Atmos	Xcel	
CHEYENNE COUNTY	17	Black Hills	KC	
CLEAR CREEK COUNTY	19	Xcel		
CONEJOS COUNTY	21	Xcel	Xcel	San Luis Valley
COSTILLA COUNTY	23	Propane	Xcel	San Luis Valley
CROWLEY COUNTY	25	Source	Black Hills	Southeast
CUSTER COUNTY	27	Propane	Black Hills	San Isabel
DELTA COUNTY	29	Source	DMEA	
DENVER COUNTY	31	Xcel	Xcel	
DOLORES COUNTY	33	Atmos	Empire	
DOUGLAS COUNTY	35	Xcel/BH	Xcel	
EAGLE COUNTY	37	Source	Holy Cross	
ELBERT COUNTY	39	Black Hills		
EL PASO COUNTY	41	CSU	CSU	
FREMONT COUNTY	43	Atmos	Black Hills	Sangre/San Isab
GARFIELD COUNTY	45	Xcel/Source	Xcel	HC/City of Glen
GILPIN COUNTY	47	CNG	United	
GRAND COUNTY	49	Xcel	Mtn Parks	
GUNNISON COUNTY	51	Atmos	Gun REA	City of Gunn
HINSDALE COUNTY	53	Propane	Gun REA	
HUERFANO COUNTY	55	Walsenburg	San Isabel	
JACKSON COUNTY	57	Walden	Mtn Parks	
JEFFERSON COUNTY	59	Xcel	Xcel	
KIOWA COUNTY	61	Atmos	Southeast	
KIT CARSON COUNTY	63	Black Hills	KC	
LAKE COUNTY	65	Xcel	Xcel	
LA PLATA COUNTY	67	Atmos/Sour		
LARIMER COUNTY	69	Xcel	Xcel	Estes Park
LAS ANIMAS COUNTY	71	Trinidad	Trinidad	San Isabel
LINCOLN COUNTY	73	Black Hills	KC	
LOGAN COUNTY	75	Xcel/Source	Highline	Xcel
MESA COUNTY	77	Xcel	Xcel	
MINERAL COUNTY	79	Propane	San Luis Val	
MOFFAT COUNTY	81	Atmos	Moon Lake	
MONTEZUMA COUNTY	83	Atmos	Empire	
MONTROSE COUNTY	85	Source	DMEA	San Miguel
MORGAN COUNTY	87	Xcel	Xcel	Morg Cty
OTERO COUNTY	89	Source	Black Hills	
OURAY COUNTY	91	Source	San Miguel	
PARK COUNTY	93	CNG	Xcel	
PHILLIPS COUNTY	95	Source	Highline	Holyoke
PITKIN COUNTY	97	Source	Holy Cross	
PROWERS COUNTY	99	Atmos		
PUEBLO COUNTY	101	Xcel	Black Hills	San Isabel
RIO BLANCO COUNTY	103	Atmos	White River	Moon Lake
RIO GRANDE COUNTY	105	Xcel	Xcel	San Luis Valley
ROUTT COUNTY	107	Atmos	Oak Creek	
SAGUACHE COUNTY	109	Center	Xcel	Center
SAN JUAN COUNTY	111	Propane	San Miguel	
SAN MIGUEL COUNTY	113	Source	San Miguel	
SEDGWICK COUNTY	115	Source	Highline	
SUMMIT COUNTY	117	Xcel	Xcel	
TELLER COUNTY	119	BH/CNG	Black Hills	
WASHINGTON COUNTY	121	Source		
WELD COUNTY	123	Atmos/Xcel	Xcel	United Power
YUMA COUNTY	125	Source		